,ID,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,GDCD,Địa,Sử
383,02000383,8.4,7.0,7.0,4.25,7.0,8.0,,,
384,02000384,8.0,7.5,6.5,6.5,8.0,7.8,,,
385,02000385,7.8,7.25,7.5,6.0,6.5,7.6,,,
386,02000386,7.8,5.5,7.0,6.0,7.0,6.4,,,
387,02000387,8.6,4.0,6.5,7.5,8.0,7.8,,,
388,02000388,7.8,7.25,9.25,6.75,7.5,6.4,,,
389,02000389,7.0,6.5,4.75,6.0,4.25,5.2,,,
390,02000390,7.8,6.25,7.5,6.75,6.5,5.8,,,
391,02000391,9.2,5.75,7.5,6.75,5.75,5.4,,,
392,02000392,8.2,7.0,6.75,5.75,7.25,6.0,,,
393,02000393,8.8,6.5,8.25,4.25,5.75,6.4,,,
394,02000394,7.2,6.75,6.25,5.75,5.75,6.8,,,
395,02000395,7.4,7.25,7.25,5.75,6.25,6.0,,,
396,02000396,9.0,8.0,4.75,4.0,6.0,7.4,,,
397,02000397,8.4,7.75,8.25,5.5,6.25,7.4,,,
398,02000398,7.0,3.0,8.0,7.5,7.0,4.6,,,
399,02000399,7.8,7.75,4.25,6.75,5.75,6.6,,,
400,02000400,7.8,5.75,6.25,6.5,6.5,9.0,,,
401,02000401,6.4,,,,6.25,8.4,7.25,5.5,6.25
402,02000402,7.2,,,,5.5,5.8,8.0,6.5,4.5
403,02000403,6.2,,,,5.5,3.0,7.25,4.75,4.25
404,02000404,4.2,,,,2.0,3.8,7.0,6.25,5.0
405,02000405,7.8,,,,7.25,6.4,7.75,7.25,6.0
406,02000406,6.0,,,,6.0,8.0,8.5,6.0,5.25
407,02000407,8.8,,,,8.5,7.2,9.5,8.25,7.5
408,02000408,7.8,5.25,7.5,5.25,7.0,7.8,,,
409,02000409,6.0,,,,7.5,6.6,9.0,7.75,6.0
410,02000410,9.2,8.0,8.0,6.25,7.75,7.4,,,
411,02000411,8.0,,,,7.0,9.2,10.0,8.5,8.25
412,02000412,6.6,,,,6.0,5.0,9.0,7.75,5.25
413,02000413,7.6,,,,8.25,6.8,8.0,6.75,4.25
414,02000414,7.6,,,,7.75,5.6,8.75,5.75,6.25
